Is cuda available:  True cuda
Number of training images: 7095
Epoch 50/150, Train Loss: 0.6125042207606204, Val Loss: 9.068732857704163, R^2 Score: -0.006136655807495117
Epoch 51/150, Train Loss: 0.5846299623718133, Val Loss: 8.21605281318937, R^2 Score: 0.0886925458908081
Epoch 52/150, Train Loss: 0.5559556832587397, Val Loss: 8.298000650746483, R^2 Score: 0.07931685447692871
Epoch 53/150, Train Loss: 0.6385787197195731, Val Loss: 8.248623992715563, R^2 Score: 0.08556956052780151
Epoch 54/150, Train Loss: 0.6015287934391348, Val Loss: 7.919327974319458, R^2 Score: 0.12223142385482788
Epoch 55/150, Train Loss: 0.5315119769793373, Val Loss: 8.124208058629717, R^2 Score: 0.09966224431991577
Epoch 56/150, Train Loss: 0.592266847018723, Val Loss: 8.057104647159576, R^2 Score: 0.10630834102630615
Epoch 57/150, Train Loss: 0.5642632009746792, Val Loss: 8.286381942885262, R^2 Score: 0.0803939700126648
Epoch 58/150, Train Loss: 0.5427223799733428, Val Loss: 7.936744775090899, R^2 Score: 0.11885082721710205
Epoch 59/150, Train Loss: 0.5040543523054939, Val Loss: 8.128500410488673, R^2 Score: 0.09796655178070068
Epoch 60/150, Train Loss: 0.44252581867548796, Val Loss: 8.35585846219744, R^2 Score: 0.07187801599502563
Epoch 61/150, Train Loss: 0.4617812377778259, Val Loss: 8.316466280392238, R^2 Score: 0.07684040069580078
Epoch 62/150, Train Loss: 0.4435105242237851, Val Loss: 8.01095448221479, R^2 Score: 0.11191171407699585
Epoch 63/150, Train Loss: 0.44557918950512604, Val Loss: 8.186063374791827, R^2 Score: 0.09099733829498291
Epoch 64/150, Train Loss: 0.48696320242172964, Val Loss: 8.29947635957173, R^2 Score: 0.07847517728805542
Epoch 65/150, Train Loss: 0.45207271402752075, Val Loss: 8.443282391343798, R^2 Score: 0.06274694204330444
Epoch 66/150, Train Loss: 0.461478696548724, Val Loss: 8.393452644348145, R^2 Score: 0.06724441051483154
Epoch 67/150, Train Loss: 0.39132552906065377, Val Loss: 8.289046687739235, R^2 Score: 0.08040976524353027
Epoch 68/150, Train Loss: 0.393008669687284, Val Loss: 8.279356360435486, R^2 Score: 0.08100825548171997
Epoch 69/150, Train Loss: 0.35719733900046563, Val Loss: 8.36848759651184, R^2 Score: 0.07090020179748535
Epoch 70/150, Train Loss: 0.3997080653301767, Val Loss: 8.654208949634008, R^2 Score: 0.038806140422821045
Epoch 71/150, Train Loss: 0.38167935911868067, Val Loss: 8.189129778317042, R^2 Score: 0.09185540676116943
Epoch 72/150, Train Loss: 0.41114617729777686, Val Loss: 8.162523354802813, R^2 Score: 0.0935356616973877
Epoch 73/150, Train Loss: 0.36116786609898816, Val Loss: 8.185915776661464, R^2 Score: 0.0914069414138794
Epoch 74/150, Train Loss: 0.3355073747267057, Val Loss: 8.448570728302002, R^2 Score: 0.06273508071899414
Epoch 75/150, Train Loss: 0.3661954955676118, Val Loss: 8.075067860739571, R^2 Score: 0.10346919298171997
Epoch 76/150, Train Loss: 0.3127673418672235, Val Loss: 8.165339393275124, R^2 Score: 0.09396296739578247
Epoch 77/150, Train Loss: 0.32815418268243474, Val Loss: 8.13794778074537, R^2 Score: 0.09568977355957031
Epoch 78/150, Train Loss: 0.3282631219171726, Val Loss: 8.103618511131831, R^2 Score: 0.10025399923324585
Epoch 79/150, Train Loss: 0.34305888474793045, Val Loss: 8.121806195804051, R^2 Score: 0.09808218479156494
Epoch 80/150, Train Loss: 0.3177011233527918, Val Loss: 8.200228776250567, R^2 Score: 0.08933210372924805
Epoch 81/150, Train Loss: 0.3417007955009336, Val Loss: 8.217874254499163, R^2 Score: 0.08832502365112305
Epoch 82/150, Train Loss: 0.3287103637918696, Val Loss: 8.652343715940203, R^2 Score: 0.03919285535812378
Epoch 83/150, Train Loss: 0.3363396203027921, Val Loss: 8.180190001215253, R^2 Score: 0.0927920937538147
Epoch 84/150, Train Loss: 0.3285595913258222, Val Loss: 8.195257536002568, R^2 Score: 0.0908808708190918
Epoch 85/150, Train Loss: 0.27511494922208357, Val Loss: 8.327163423810687, R^2 Score: 0.07539248466491699
Epoch 86/150, Train Loss: 0.29147348066305256, Val Loss: 8.044841706752777, R^2 Score: 0.10659664869308472
Epoch 87/150, Train Loss: 0.23689518182597183, Val Loss: 8.09628998381751, R^2 Score: 0.10184001922607422
Epoch 88/150, Train Loss: 0.22312680860091974, Val Loss: 8.414507831845965, R^2 Score: 0.06569242477416992
Epoch 89/150, Train Loss: 0.23908691970748944, Val Loss: 8.321605035236903, R^2 Score: 0.07617980241775513
Epoch 90/150, Train Loss: 0.3015158089498679, Val Loss: 8.928714334964752, R^2 Score: 0.009518027305603027
Epoch 91/150, Train Loss: 0.3048659242555365, Val Loss: 8.571906924247742, R^2 Score: 0.047927260398864746
Epoch 92/150, Train Loss: 0.28549373804314715, Val Loss: 8.776590543133873, R^2 Score: 0.02510887384414673
Epoch 93/150, Train Loss: 0.30709543844332565, Val Loss: 8.50101499046598, R^2 Score: 0.057968974113464355
Epoch 94/150, Train Loss: 0.2508244580916456, Val Loss: 8.640082206044879, R^2 Score: 0.04032087326049805
Epoch 95/150, Train Loss: 0.24901765856791186, Val Loss: 8.47702409539904, R^2 Score: 0.05970257520675659
Epoch 96/150, Train Loss: 0.28377531911875753, Val Loss: 8.270045382635933, R^2 Score: 0.08318257331848145
Epoch 97/150, Train Loss: 0.2612978403565583, Val Loss: 8.475970770631518, R^2 Score: 0.06007951498031616
Epoch 98/150, Train Loss: 0.234376460313797, Val Loss: 8.516961778913226, R^2 Score: 0.054077327251434326
Epoch 99/150, Train Loss: 0.2216961799978136, Val Loss: 8.505006168569837, R^2 Score: 0.057073891162872314
Epoch 100/150, Train Loss: 0.23485583879120714, Val Loss: 8.423185433660235, R^2 Score: 0.06514930725097656
Epoch 101/150, Train Loss: 0.24959878754374143, Val Loss: 8.436340289456504, R^2 Score: 0.0647156834602356
Epoch 102/150, Train Loss: 0.27006297816967106, Val Loss: 8.664974008287702, R^2 Score: 0.03798764944076538
Epoch 103/150, Train Loss: 0.2702188965369452, Val Loss: 8.425700656005315, R^2 Score: 0.0651511549949646
